place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.3,1994,"Tim Robbins, Morgan Freeman, Bob Gunton"
2,The Godfather,9.2,1972,"Marlon Brando, Al Pacino, James Caan"
3,The Dark Knight,9.0,2008,"Christian Bale, Heath Ledger, Aaron Eckhart"
4,The Godfather Part II,9.0,1974,"Al Pacino, Robert De Niro, Robert Duvall"
5,12 Angry Men,9.0,1957,"Henry Fonda, Lee J. Cobb, Martin Balsam"
6,The Lord of the Rings: The Return of the King,9.0,2003,"Elijah Wood, Viggo Mortensen, Ian McKellen"
7,Schindler's List,9.0,1993,"Liam Neeson, Ralph Fiennes, Ben Kingsley"
8,Pulp Fiction,8.9,1994,"John Travolta, Uma Thurman, Samuel L. Jackson"
9,The Lord of the Rings: The Fellowship of the Ring,8.9,2001,"Elijah Wood, Ian McKellen, Orlando Bloom"
10,"Il buono, il brutto, il cattivo",8.8,1966,"Clint Eastwood, Eli Wallach, Lee Van Cleef"
11,Forrest Gump,8.8,1994,"Tom Hanks, Robin Wright, Gary Sinise"
12,The Lord of the Rings: The Two Towers,8.8,2002,"Elijah Wood, Ian McKellen, Viggo Mortensen"
13,Fight Club,8.8,1999,"Brad Pitt, Edward Norton, Meat Loaf"
14,Inception,8.8,2010,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
15,Star Wars: Episode V - The Empire Strikes Back,8.7,1980,"Mark Hamill, Harrison Ford, Carrie Fisher"
16,The Matrix,8.7,1999,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
17,Goodfellas,8.7,1990,"Robert De Niro, Ray Liotta, Joe Pesci"
18,One Flew Over the Cuckoo's Nest,8.7,1975,"Jack Nicholson, Louise Fletcher, Michael Berryman"
19,Interstellar,8.7,2014,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
20,Se7en,8.6,1995,"Morgan Freeman, Brad Pitt, Kevin Spacey"
21,It's a Wonderful Life,8.6,1946,"James Stewart, Donna Reed, Lionel Barrymore"
22,Shichinin no samurai,8.6,1954,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima"
23,The Silence of the Lambs,8.6,1991,"Jodie Foster, Anthony Hopkins, Scott Glenn"
24,Saving Private Ryan,8.6,1998,"Tom Hanks, Matt Damon, Tom Sizemore"
25,Cidade de Deus,8.6,2002,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele"
